18 3 1 6.008333e+01  
18 4 1 NaN  
18 3 2 4.793333e+01  
18 4 2 NaN  
18 3 3 3.821951e+01  
18 4 3 4.446429e+01  
18 3 4 3.123077e+01  
18 4 4 4.544318e+01  
19 3 1 6.628000e+01  
19 4 1 NaN  
19 3 2 5.455000e+01  
19 4 2 NaN  
19 3 3 4.135593e+01  
19 4 3 6.282407e+01  
19 3 4 4.460784e+01  
19 4 4 4.194565e+01  
20 3 1 5.004000e+01  
20 4 1 NaN  
20 3 2 4.542857e+01  
20 4 2 NaN  
20 3 3 5.178000e+01  
20 4 3 4.830392e+01  
20 3 4 3.064706e+01  
20 4 4 3.791837e+01  
21 3 1 5.818868e+01  
21 4 1 NaN  
21 3 2 4.454348e+01  
21 4 2 NaN  
21 3 3 5.623810e+01  
21 4 3 5.803030e+01  
21 3 4 4.061017e+01  
21 4 4 3.852475e+01  
22 3 1 6.733871e+01  
22 4 1 NaN  
22 3 2 6.815556e+01  
22 4 2 NaN  
22 3 3 5.988372e+01  
22 4 3 6.299029e+01  
22 3 4 5.986000e+01  
22 4 4 6.115464e+01  
23 3 1 5.806000e+01  
23 4 1 NaN  
23 3 2 5.427500e+01  
23 4 2 NaN  
23 3 3 5.393333e+01  
23 4 3 5.164894e+01  
23 3 4 6.722000e+01  
23 4 4 4.672642e+01  
24 3 1 7.308889e+01  
24 4 1 NaN  
24 3 2 5.467308e+01  
24 4 2 NaN  
24 3 3 6.329787e+01  
24 4 3 5.673451e+01  
24 3 4 5.944643e+01  
24 4 4 4.588506e+01  
25 3 1 5.777193e+01  
25 4 1 NaN  
25 3 2 6.182222e+01  
25 4 2 NaN  
25 3 3 6.441304e+01  
25 4 3 6.257143e+01  
25 3 4 5.619231e+01  
25 4 4 4.763303e+01  
26 3 1 5.917308e+01  
26 4 1 NaN  
26 3 2 6.598182e+01  
26 4 2 NaN  
26 3 3 6.145455e+01  
26 4 3 5.424299e+01  
26 3 4 4.353061e+01  
26 4 4 6.469892e+01  
27 3 1 3.791111e+01  
27 4 1 NaN  
27 3 2 4.589286e+01  
27 4 2 NaN  
27 3 3 4.131373e+01  
27 4 3 2.943878e+01  
27 3 4 4.393750e+01  
27 4 4 3.974510e+01  
28 3 1 8.724242e+01  
28 4 1 NaN  
28 3 2 6.098113e+01  
28 4 2 NaN  
28 3 3 5.678333e+01  
28 4 3 5.709434e+01  
28 3 4 2.692593e+01  
28 4 4 3.195745e+01  
29 3 1 5.153061e+01  
29 4 1 NaN  
29 3 2 4.754000e+01  
29 4 2 NaN  
29 3 3 5.656818e+01  
29 4 3 4.292593e+01  
29 3 4 5.933333e+01  
29 4 4 4.344565e+01  
30 3 1 4.483929e+01  
30 4 1 NaN  
30 3 2 6.280851e+01  
30 4 2 NaN  
30 3 3 5.094444e+01  
30 4 3 5.177551e+01  
30 3 4 4.313953e+01  
